"Country","Total greenhouse gas emissions  thousand metric tons of carbon dioxide equivalent 2012","Total greenhouse gas emissions  % change 1990-2012","Methane emissions  thousand metric tons of carbon dioxide equivalent 2012","Methane emissions  % change 1990-2012","Methane emissions From energy processes % of total 2008","Methane emissions Agricultural % of total 2008","Nitrous oxide emissions  thousand metric tons of carbon dioxide equivalent 2012","Nitrous oxide emissions  % change 1990-2012","Nitrous oxide emissions From energy processes % of total 2008","Nitrous oxide emissions Agricultural % of total 2008","Other greenhouse gas emissions  thousand metric tons of carbon dioxide equivalent 2012","Other greenhouse gas emissions  % change 1990-2012"
"Ecuador",NA,70.9,NA,43.7,22.7,65,NA,70.1,3.9,85.6,NA,-84.8
"Egypt, Arab Rep.",NA,112.4,NA,92.6,55.3,29.3,NA,31.7,6,67.3,NA,91.8
"El Salvador",NA,88.1,NA,13.4,15.2,53.9,NA,5.7,8.1,75.4,NA,75.3
"Equatorial Guinea",NA,NA,NA,NA,92.2,0.3,37,104.1,57,27.2,NA,-100
"Eritrea",NA,49.3,NA,39.8,19.6,65.6,NA,22.2,5.7,88.3,199,NA
"Estonia",NA,-58.2,NA,-34.4,40.9,29,951,-52.3,14.2,65.3,-99,-99.5
"Ethiopia",NA,175.3,NA,61.3,16.7,70.8,NA,57.7,4.7,88.3,NA,NA
"Faroe Islands",NA,NA,39,16.8,0,36,7,7.3,0,86.6,NA,-100
"Fiji",NA,-3,715,12.5,2.3,78.4,344,-3,2.4,91.4,-97,-35
"Finland",NA,-8.6,NA,-15.1,8.8,20.6,NA,-29,28.7,41.2,NA,104.1
"France",NA,-10,NA,7.2,42.6,43.5,NA,-50.1,7.7,70.9,NA,78.4
"French Polynesia",NA,-39.9,99,40.1,2.1,26.5,37,1.7,11.2,48.5,NA,-100
"Gabon",NA,181.6,NA,11.9,53.9,3.9,838,172.8,2.9,18.1,NA,466.1
"Gambia, The",NA,196.7,NA,69.2,19.2,62.1,500,50.9,3.9,85.4,NA,NA
"Georgia",NA,-61.7,NA,-0.3,39.2,50,NA,-19.7,3.2,53.7,222,8.3
"Germany",NA,-24.2,NA,-51.8,26.6,50.2,NA,-39,11.4,57.5,NA,-44.2
"Ghana",NA,265.4,NA,166,13.5,60.2,NA,244.9,2.3,78.3,NA,350.5
"Greece",NA,4,NA,6.7,22.5,45.2,NA,-42.1,14.4,60.9,NA,-41.1
"Greenland",NA,NA,29,21.2,0,11.8,231,31.7,0,0.6,NA,NA
"Grenada",726.2,359.9,37,48.2,15.3,21.9,26,168.8,10.7,21,193,50.3
"Guam",85.9,42.7,71,53.8,0.1,2.6,2,30.3,0.4,84.7,0,-100
"Guatemala",NA,111.4,NA,43.3,19.4,53.4,NA,84.6,7.3,60.5,NA,35.9
"Guinea",NA,55.5,NA,228.8,4.7,46.1,NA,269.6,0.9,59,NA,1
"Guinea-Bissau",NA,366.9,NA,64.9,3.5,80.1,990,87.8,1.7,90.1,NA,NA
"Guyana",NA,-63.3,NA,69.1,5.4,70.2,NA,3.1,1.3,82.9,-832,-99.9
"Haiti",NA,64.9,NA,38.7,20,50.1,NA,64.3,7.9,81.8,482,NA
"Honduras",NA,49.2,NA,47.2,8.5,76.6,NA,32.1,3.9,75.7,NA,-67.1
"Hungary",NA,-35.4,NA,-29.1,29,31.5,NA,-59.7,6.7,80.2,NA,20.2
"Iceland",NA,-74.7,359,5,0.9,57,369,-9.7,3.9,85.8,NA,-98.6
"India",NA,116.4,NA,23.9,17.2,62.7,NA,41.4,12.3,73.8,NA,243.3
"Indonesia",NA,-33,NA,5.6,26.7,41.1,NA,-7.4,4,65.5,NA,-99.6
"Iran, Islamic Rep.",NA,129.4,NA,113.7,68.6,19,NA,30.5,7.4,80.7,NA,83.7
"Iraq",NA,55.7,NA,13.7,67.3,15.4,NA,5.5,10.3,52.7,NA,-85.8
"Ireland",NA,-4.8,NA,3.2,13.6,78.6,NA,-15.1,4.4,90.1,NA,-87.7
"Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Israel",NA,112.2,NA,78.8,26.4,28.6,NA,8.4,15.4,54.3,NA,135.1
"Italy",NA,-5.1,NA,-25.3,16.7,41.7,NA,-36.5,14.9,54.7,NA,232.6
"Jamaica",NA,66,NA,6.5,11.6,49.8,656,36.9,14.4,53.3,NA,107.9
"Japan",NA,13.4,NA,-41.8,8.2,72.5,NA,-32.6,27,30.1,NA,88.8
"Jordan",NA,134.5,NA,144.2,30.9,21.4,605,-4,8.5,61.5,NA,NA
"Kazakhstan",NA,-1.6,NA,2.8,68,21.9,NA,-43.5,7.8,73.4,NA,93.9
"Kenya",NA,39.4,NA,37.9,28.1,56.4,NA,24.8,5.5,88.3,NA,-29.6
"Kiribati",NA,32.5,16,60.7,5.6,7.1,4,43.4,8,47.2,NA,-100
"Korea, Dem. People’s Rep.",NA,-32.6,NA,-12.2,59.1,23.3,NA,-66,13.3,66.8,NA,66.2
"Korea, Rep.",NA,122.6,NA,4.2,22.6,40.6,NA,42.2,25.7,42.2,NA,45.5
"Kosovo",NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"Kuwait",NA,NA,NA,134.1,92.3,1.2,704,18.9,27.7,18.2,NA,451.4
"Kyrgyz Republic",NA,-58.6,NA,-26.3,7,73.9,NA,-46.2,1.6,82.3,638,-86.4
"Lao PDR",NA,436.8,NA,84.4,9.7,77,NA,101.7,3.6,66.7,NA,691.9
"Latvia",NA,-58.6,NA,-41.8,55.5,25.1,NA,-53.4,12.2,75.4,NA,-73.8
"Lebanon",NA,NA,NA,64.7,10.9,25.2,462,24.5,10.6,65.2,NA,19.1
"Lesotho",NA,84.5,NA,13.1,27.1,55.5,428,-24.1,9.7,81.5,NA,NA
"Liberia",NA,61.7,NA,78.2,55.8,18.3,337,60.6,22.5,63.5,184,97.2
"Libya",NA,34.5,NA,10.4,88.7,4.7,NA,8.7,12,50.6,NA,15.5
"Liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania",NA,-45.8,NA,-36.8,34.3,37.7,NA,-18,2.5,44.1,NA,-78
"Luxembourg",NA,-3.7,NA,19.4,11.2,82.3,473,19.1,17.4,62.7,332,NA
"North Macedonia",NA,-9.3,NA,-16,33.5,43.9,526,-36.1,8.8,69.8,NA,197.5
"Madagascar",NA,143.9,NA,17.7,15.8,73.6,NA,-9.8,4,87.3,NA,308
"Malawi",NA,153.4,NA,14.4,32.3,37.9,NA,12,4.9,85.4,NA,972.4
"Malaysia",NA,40.5,NA,45.1,65.9,15.2,NA,9.5,6.4,68.8,NA,-96.3
"Maldives",NA,NA,52,110.4,11.2,1.2,27,366.1,12.5,8.3,NA,-100
"Mali",NA,151.5,NA,91.1,4,77.2,NA,88.6,1.3,82.4,NA,214.8
"Malta",NA,23.9,141,-23.2,0.3,20.1,61,-17.6,8.4,47.8,NA,NA
"Marshall Islands",NA,NA,8,62.5,0,0,0,22.8,0,0,NA,NA
"Mauritania",NA,123.2,NA,71.6,8.6,83.1,NA,57.5,2.8,92.3,NA,NA
"Mauritius",NA,16.3,311,48.2,12.1,16,170,5.6,8.9,60.4,NA,NA
"Mexico",NA,34.3,NA,18,34.2,47.2,NA,-2.9,8.5,74.1,NA,-38.6
"Micronesia, Fed. Sts.",NA,21.9,30,43.3,2.3,64,11,71.7,0.2,98.2,NA,NA
"Moldova",NA,-70.2,NA,-15.4,52.5,22.7,686,-60.9,8.2,71.6,NA,51.9
"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mongolia",NA,-57.2,NA,-24.6,7.8,87.5,NA,-31.1,3.1,93.5,NA,-92.7
"Montenegro",NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"Morocco",NA,114.3,NA,30.2,11.8,49.3,NA,5.4,8.6,78.5,NA,-10.8
"Mozambique",NA,828.9,NA,-15.4,50.4,19.5,NA,-78.7,15.2,52.1,NA,NA
"Myanmar",NA,-39.6,NA,-4,13.4,77,NA,-39.6,3.4,53.4,NA,-45.3
"Namibia",NA,421.2,NA,43.5,2.6,92,NA,19.4,4.2,93.7,NA,NA
"Nepal",NA,62.3,NA,18.2,6.3,82.1,NA,28,13.3,76.4,NA,NA
"Netherlands",NA,-12.7,NA,-36.9,26.5,46.5,NA,-50.2,8.1,60.5,NA,-67.4
"New Caledonia",NA,11.5,215,6.7,1.9,73.2,98,-5.9,5.7,75.9,NA,NA
"New Zealand",NA,18.9,NA,7.4,4.1,91,NA,13,2.3,95.1,NA,-68.5
"Nicaragua",NA,59,NA,34.9,6.8,73.7,NA,12.8,3.2,87.4,NA,185.2
"Niger",NA,65.4,NA,53.7,29.7,47.6,NA,20,10.4,78.6,402,NA
"Nigeria",NA,84.4,NA,37.7,41.4,41.6,NA,85.7,5.2,80.4,NA,713
"Northern Mariana Islands",12.5,144.1,12,158.3,0,0,0,-62.1,0,0,NA,NA
"Norway",NA,-5.8,NA,15.3,76.3,11.8,NA,-40.1,8,47,NA,-81.3
"Oman",NA,75.9,NA,173.3,92.8,3.5,NA,195.3,13.3,58.5,NA,-97.3
"Pakistan",NA,114.3,NA,74.4,25.2,62.3,NA,66.2,12.6,75.3,NA,6.1
"Palau",NA,NA,1,20.1,0,0,0,9.9,0,0,NA,NA
"Panama",NA,138.4,NA,22,4,78.6,NA,37.6,5.4,78.9,NA,-69.2
"Papua New Guinea",NA,-62.4,NA,-11.6,45.6,15,NA,-36,9.4,19.6,806,-90.3
"Paraguay",NA,-20.3,NA,4.8,12.3,78.4,NA,4.4,2.5,87.5,NA,-45.3
"Peru",NA,25.6,NA,42.3,13,65.9,NA,51.1,3,84.6,-883,-70.7
"Philippines",NA,73.6,NA,37.6,10.5,62.7,NA,29.1,6.1,76.4,NA,-15.4
