"Country","Annual freshwater withdrawals Flows billion cu. m 2014","Annual freshwater withdrawals  billion cu. m 2014","Annual freshwater withdrawals  % of internal resources 2014","Annual freshwater withdrawals  % for agriculture 2015","Annual freshwater withdrawals  % for industry 2014","Water productivity  % of domestic 2015","People using at least basic drinking water services GDP/water use 2010 $ per cu. m 2015","People using at least basic drinking water services Urban % of urban population 2018","People using at least basic drinking water services Rural % of Rural population 2018"
"Uganda",39,0.6,1.6,41,8,51,28,75.1,41.3
"Ukraine",55.1,14.9,27,30,48,22,9,91.3,99.4
"United Arab Emirates",0.2,2.8,NA,NA,2,NA,NA,NA,NA
"United Kingdom",145,8,5.5,13,14,71,318,100,100
"United States",NA,418.7,14.9,36,51,13,36,99.8,97
"Uruguay",92.2,NA,NA,NA,NA,NA,NA,99.6,95.3
"Uzbekistan",16.3,49.2,300.9,NA,3,NA,NA,99.6,96.1
"Vanuatu",10,NA,NA,NA,NA,NA,NA,99.5,88.5
"Venezuela, RB",805,22.6,2.8,74,4,23,17,NA,NA
"Vietnam",359.4,81.9,22.8,NA,4,NA,NA,98.6,92.6
"Virgin Islands (U.S.)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"West Bank and Gaza",0.8,0.4,50.2,NA,7,NA,NA,97.1,95.9
"Yemen, Rep.",2.1,3.5,168.6,NA,2,NA,NA,79.1,54.7
"Zambia",80.2,NA,NA,NA,NA,NA,NA,83.9,42
"Zimbabwe",12.3,3.6,29.1,82,6,12,3,94,49.8
